playbook,exit_path,trades,wr,avg,total,pct,run
DF,pure_stop,2628,0.006468797564687975,-48.58236681887367,-127674.46,0.4983880144130476,1m
DF,tp1_then_stop,1946,0.9897225077081192,24.04091983556012,46783.63,0.3690498767305139,1m
DF,tp1_tp2_clean,594,1.0,65.92878787878789,39161.700000000004,0.11264934572349707,1m
DF,flip_exit,71,0.5633802816901409,2.7436619718309854,194.79999999999995,0.013464820785131804,1m
DF,other,34,0.5882352941176471,8.947058823529412,304.2,0.006447942347809596,1m
CB,pure_stop,1714,0.011668611435239206,-29.42365227537923,-50432.14,0.5244798041615667,1m
CB,tp1_then_stop,1253,0.9920191540303273,16.468411811652032,20634.92,0.38341493268053856,1m
CB,tp1_tp2_clean,301,1.0,38.852823920265784,11694.7,0.09210526315789473,1m
SB,pure_stop,2228,0.011220825852782765,-28.906907540394972,-64404.59,0.5176579925650557,1m
SB,tp1_then_stop,1695,0.9964601769911504,17.15397640117994,29075.989999999998,0.3938197026022305,1m
SB,tp1_tp2_clean,379,1.0,41.97704485488127,15909.300000000001,0.08805762081784387,1m
SB,other,2,0.5,8.950000000000001,17.900000000000002,0.00046468401486988845,1m
SS,pure_stop,942,0.0,-22.42328025477707,-21122.73,0.5198675496688742,1m
SS,tp1_then_stop,618,0.9838187702265372,10.589919093851131,6544.57,0.34105960264900664,1m
SS,tp1_tp2_clean,252,1.0,26.97777777777778,6798.400000000001,0.1390728476821192,1m
MR,pure_stop,2570,0.0,-8.66704280155642,-22274.3,0.7081840727473133,1m
MR,tp2_only,1054,1.0,13.574857685009487,14307.9,0.2904381372278865,1m
MR,other,5,0.8,3.2,16.0,0.0013777900248002205,1m
DF,pure_stop,1525,0.013114754098360656,-100.25068852459017,-152882.30000000002,0.4591990364348088,5m
DF,tp1_then_stop,1363,0.9457079970652972,52.140198092443136,71067.09,0.41041854862993077,5m
DF,tp1_tp2_clean,232,1.0,189.42370689655175,43946.3,0.0698584763625414,5m
DF,flip_exit,118,0.4152542372881356,-2.1889830508474577,-258.3,0.03553146642577537,5m
DF,other,57,0.3684210526315789,-12.319298245614036,-702.2,0.017163504968383016,5m
DF,tp2_then_stop,26,0.9615384615384616,157.56192307692305,4096.61,0.007828967178560674,5m
CB,pure_stop,309,0.016181229773462782,-62.501812297734624,-19313.059999999998,0.5282051282051282,5m
CB,tp1_then_stop,210,0.9666666666666667,37.94809523809524,7969.1,0.358974358974359,5m
CB,tp1_tp2_clean,64,1.0,100.76406250000001,6448.900000000001,0.1094017094017094,5m
CB,other,2,0.0,-37.6,-75.2,0.003418803418803419,5m
SB,pure_stop,560,0.014285714285714285,-60.575285714285705,-33922.159999999996,0.5572139303482587,5m
SB,tp1_then_stop,346,0.976878612716763,40.17164739884393,13899.39,0.34427860696517415,5m
SB,tp1_tp2_clean,93,1.0,100.28602150537635,9326.6,0.09253731343283582,5m
SB,other,6,0.3333333333333333,-8.933333333333335,-53.60000000000001,0.005970149253731343,5m
SS,pure_stop,160,0.0,-48.56975,-7771.16,0.5860805860805861,5m
SS,tp1_then_stop,86,0.9767441860465116,26.90453488372093,2313.79,0.315018315018315,5m
SS,tp1_tp2_clean,27,1.0,65.05925925925926,1756.6000000000001,0.0989010989010989,5m
MR,pure_stop,195,0.0,-17.78123076923077,-3467.34,0.7090909090909091,5m
MR,tp2_only,80,1.0,32.823750000000004,2625.9,0.2909090909090909,5m
